,token,ocurrences
0,abril,"[[1, 1], [5, 1], [6, 1], [27, 1], [28, 2], [36, 2], [54, 1], [86, 1], [90, 4], [91, 2], [95, 1], [96, 1], [100, 3], [103, 1], [112, 1], [115, 1], [134, 1], [137, 1], [151, 1], [162, 3], [165, 2], [166, 1], [190, 1], [192, 1], [196, 1], [197, 2], [220, 1], [226, 2], [231, 1], [232, 1], [234, 1], [236, 1], [246, 1]]"
1,aeronáutica,"[[1, 1], [21, 2], [207, 1], [224, 1]]"
2,afirmando,"[[1, 1], [2, 2], [3, 1], [19, 1], [77, 1], [92, 1], [205, 1], [208, 1], [222, 1], [229, 1]]"
3,agiram,"[[1, 1], [241, 1]]"
4,agora,"[[1, 1], [3, 1], [4, 1], [8, 2], [9, 1], [13, 1], [16, 2], [17, 3], [18, 1], [22, 1], [25, 5], [30, 2], [31, 1], [32, 2], [34, 4], [39, 1], [41, 1], [45, 1], [46, 3], [49, 1], [54, 1], [55, 2], [57, 2], [58, 2], [63, 1], [65, 2], [67, 1], [69, 4], [70, 2], [71, 1], [73, 2], [76, 1], [83, 1], [84, 1], [86, 2], [87, 1], [88, 1], [89, 7], [92, 1], [95, 1], [96, 1], [97, 1], [101, 1], [102, 4], [103, 3], [104, 2], [105, 1], [106, 1], [107, 2], [108, 1], [109, 2], [113, 1], [125, 5], [127, 1], [129, 1], [130, 1], [132, 1], [134, 1], [138, 2], [140, 3], [141, 2], [142, 1], [143, 1], [145, 1], [149, 1], [151, 2], [152, 2], [153, 1], [154, 1], [157, 2], [162, 2], [163, 1], [166, 7], [167, 2], [168, 1], [173, 1], [175, 1], [178, 1], [180, 1], [181, 1], [184, 2], [185, 5], [188, 2], [196, 1], [198, 1], [200, 1], [204, 2], [205, 2], [206, 1], [207, 1], [208, 1], [218, 1], [219, 1], [220, 2], [221, 3], [223, 1], [225, 1], [229, 1], [230, 1], [232, 1], [235, 3], [241, 1], [243, 1], [244, 1], [245, 4], [248, 2], [249, 3]]"
5,ainda,"[[1, 3], [3, 1], [6, 2], [7, 2], [8, 1], [10, 1], [11, 1], [13, 3], [14, 5], [15, 3], [17, 3], [18, 2], [19, 4], [22, 3], [23, 2], [25, 1], [26, 1], [29, 1], [30, 1], [31, 1], [32, 1], [36, 2], [37, 5], [38, 1], [40, 1], [42, 2], [46, 1], [47, 7], [50, 1], [52, 1], [55, 2], [58, 1], [59, 5], [61, 1], [63, 2], [64, 1], [65, 3], [66, 1], [68, 2], [69, 1], [70, 2], [72, 1], [73, 1], [74, 1], [75, 1], [76, 2], [78, 1], [79, 1], [81, 1], [82, 5], [83, 3], [84, 3], [86, 3], [91, 1], [92, 1], [94, 1], [95, 3], [97, 1], [101, 1], [108, 6], [109, 1], [110, 2], [112, 2], [113, 1], [114, 2], [115, 3], [121, 3], [123, 1], [124, 1], [125, 1], [126, 3], [127, 3], [128, 1], [131, 1], [132, 1], [133, 3], [135, 1], [138, 4], [140, 3], [143, 3], [144, 2], [147, 5], [148, 1], [149, 1], [150, 4], [151, 12], [152, 1], [153, 2], [156, 2], [157, 1], [158, 3], [159, 1], [160, 1], [161, 1], [162, 3], [164, 3], [165, 3], [166, 7], [167, 4], [169, 2], [171, 1], [172, 2], [173, 3], [174, 1], [176, 1], [180, 1], [183, 1], [186, 2], [189, 1], [194, 1], [195, 3], [196, 1], [198, 2], [199, 1], [201, 1], [202, 5], [203, 1], [204, 1], [205, 7], [206, 2], [207, 3], [208, 2], [209, 1], [210, 1], [211, 2], [212, 2], [213, 5], [215, 3], [217, 6], [218, 3], [220, 1], [222, 2], [223, 2], [224, 1], [225, 3], [226, 1], [228, 2], [229, 1], [230, 1], [231, 1], [232, 1], [233, 1], [234, 2], [235, 5], [236, 3], [237, 1], [238, 5], [239, 3], [240, 5], [241, 1], [242, 2], [244, 2], [245, 1], [249, 4]]"
6,alguns,"[[1, 1], [3, 1], [5, 3], [7, 1], [11, 1], [16, 2], [18, 1], [21, 1], [24, 1], [27, 1], [28, 1], [29, 3], [36, 1], [37, 1], [40, 2], [41, 1], [44, 1], [45, 1], [55, 1], [61, 3], [63, 2], [65, 4], [69, 3], [70, 1], [73, 1], [76, 1], [84, 3], [89, 1], [90, 1], [94, 2], [102, 3], [103, 1], [104, 1], [117, 1], [121, 1], [123, 1], [124, 2], [126, 1], [127, 1], [129, 1], [132, 1], [135, 3], [137, 1], [138, 1], [139, 1], [140, 3], [144, 1], [153, 1], [156, 1], [157, 1], [162, 2], [164, 3], [165, 2], [166, 2], [167, 1], [176, 1], [177, 1], [180, 1], [181, 1], [182, 1], [185, 1], [186, 1], [188, 1], [189, 1], [194, 1], [196, 1], [198, 2], [201, 1], [203, 1], [204, 1], [207, 1], [209, 1], [210, 1], [211, 1], [221, 1], [222, 1], [223, 1], [224, 1], [225, 3], [230, 1], [235, 1], [236, 1], [238, 1], [239, 3], [242, 1], [243, 1], [244, 1]]"
7,alusiva,"[[1, 1]]"
8,aniversário,"[[1, 1], [6, 2], [20, 1], [34, 1], [80, 1], [94, 1], [169, 2], [172, 5], [174, 1], [175, 2], [228, 1]]"
9,anseios,"[[1, 1], [182, 1], [198, 1], [210, 1]]"
10,antonio,"[[1, 1], [95, 1], [137, 1], [175, 1], [182, 2], [199, 5], [206, 1], [207, 1], [226, 1]]"
11,aplicava,"[[1, 1], [14, 1]]"
12,apresentado,"[[1, 1], [22, 1], [28, 1], [75, 1], [90, 2], [91, 1], [96, 1], [153, 1], [166, 1], [170, 1], [187, 1], [210, 1], [217, 1], [219, 1], [225, 1], [228, 1]]"
13,aprovadas,"[[1, 1], [169, 1]]"
14,apurar,"[[1, 1], [214, 1], [223, 1]]"
15,armadas,"[[1, 3], [6, 3], [12, 1], [25, 4], [42, 1], [65, 2], [99, 2], [115, 2], [150, 7], [151, 2], [156, 1], [165, 1], [166, 4], [205, 1], [208, 4], [218, 1], [223, 1], [246, 1], [249, 1]]"
16,assembleia,"[[1, 2], [65, 1], [83, 1], [88, 4], [98, 2], [101, 1], [106, 2], [112, 1], [126, 1], [151, 1], [205, 1], [207, 3], [247, 1]]"
17,assim,"[[1, 1], [4, 2], [6, 2], [7, 2], [8, 1], [13, 2], [14, 1], [15, 1], [16, 2], [19, 5], [23, 3], [24, 1], [25, 2], [28, 1], [30, 1], [33, 1], [37, 2], [41, 1], [46, 3], [49, 1], [55, 2], [60, 1], [63, 3], [69, 2], [70, 1], [76, 3], [77, 1], [84, 2], [86, 2], [89, 1], [90, 1], [92, 1], [94, 1], [104, 1], [107, 1], [112, 2], [115, 1], [123, 1], [130, 1], [135, 1], [136, 1], [138, 4], [139, 1], [140, 1], [141, 1], [143, 1], [144, 1], [147, 1], [148, 1], [150, 1], [151, 5], [152, 1], [156, 2], [157, 1], [158, 1], [164, 1], [166, 7], [173, 4], [176, 1], [179, 1], [180, 1], [182, 1], [183, 2], [184, 3], [185, 2], [187, 3], [189, 1], [190, 1], [191, 1], [194, 1], [195, 1], [200, 1], [201, 1], [203, 2], [207, 1], [208, 2], [210, 1], [211, 4], [212, 1], [213, 1], [216, 2], [217, 3], [218, 1], [221, 1], [222, 1], [223, 1], [228, 1], [235, 2], [238, 1], [239, 2], [240, 1], [244, 1], [245, 3], [246, 1], [247, 1], [248, 2], [249, 6]]"
18,atos,"[[1, 1], [9, 1], [29, 1], [31, 1], [88, 1], [92, 1], [117, 1], [151, 2], [164, 1], [169, 1], [172, 1], [175, 2], [214, 1], [216, 1], [238, 1], [247, 1]]"
19,avançada,"[[1, 1], [101, 1], [217, 1]]"
20,bolsonaro,"[[1, 1], [2, 1], [7, 1], [8, 7], [15, 1], [18, 5], [19, 26], [21, 3], [22, 5], [23, 1], [25, 5], [26, 7], [37, 2], [42, 12], [69, 5], [73, 1], [86, 1], [95, 3], [101, 5], [105, 6], [111, 8], [115, 5], [120, 1], [126, 1], [127, 4], [138, 5], [140, 3], [146, 1], [149, 2], [151, 46], [154, 2], [164, 3], [165, 5], [166, 37], [168, 1], [172, 4], [174, 5], [203, 4], [204, 2], [205, 7], [207, 35], [208, 12], [209, 2], [210, 1], [211, 1], [213, 4], [215, 4], [216, 12], [218, 5], [220, 2], [221, 1], [222, 3], [223, 1], [224, 1], [225, 8], [228, 2], [229, 5], [230, 1], [231, 2], [234, 1], [235, 8], [236, 5], [237, 5], [238, 5], [239, 1], [240, 1], [248, 4]]"
21,brasil,"[[1, 1], [3, 4], [6, 2], [8, 3], [10, 1], [12, 2], [14, 1], [15, 5], [18, 3], [19, 11], [21, 2], [22, 6], [23, 2], [24, 2], [25, 4], [26, 10], [32, 2], [34, 1], [37, 1], [42, 5], [44, 1], [45, 2], [47, 1], [59, 4], [69, 3], [73, 4], [76, 2], [89, 1], [92, 1], [95, 1], [97, 2], [101, 3], [105, 5], [111, 3], [115, 5], [116, 1], [120, 2], [121, 2], [123, 2], [124, 2], [126, 2], [127, 3], [130, 1], [133, 4], [134, 1], [138, 3], [139, 2], [140, 4], [143, 2], [146, 3], [147, 1], [149, 4], [150, 1], [151, 47], [154, 2], [155, 3], [156, 3], [160, 5], [161, 1], [164, 3], [165, 1], [166, 15], [167, 1], [171, 1], [172, 7], [173, 7], [174, 2], [178, 1], [179, 1], [183, 1], [184, 2], [190, 2], [199, 2], [201, 6], [204, 4], [205, 1], [208, 3], [210, 6], [211, 2], [212, 3], [213, 2], [214, 2], [215, 2], [216, 4], [217, 1], [218, 2], [219, 1], [222, 2], [223, 2], [224, 5], [228, 1], [229, 5], [230, 4], [232, 1], [234, 1], [235, 1], [238, 7], [239, 1], [241, 1], [242, 1], [248, 9]]"
22,brasileira,"[[1, 1], [3, 1], [6, 2], [7, 1], [8, 2], [15, 1], [19, 1], [21, 3], [22, 1], [25, 3], [26, 2], [27, 1], [33, 1], [42, 3], [47, 1], [55, 1], [60, 1], [92, 1], [101, 1], [111, 1], [115, 4], [119, 1], [126, 2], [127, 2], [128, 1], [134, 1], [138, 4], [146, 1], [149, 1], [151, 2], [155, 1], [160, 1], [161, 2], [162, 1], [166, 4], [172, 1], [173, 1], [174, 1], [183, 2], [191, 1], [201, 3], [204, 1], [207, 1], [218, 1], [221, 1], [222, 1], [223, 1], [233, 2], [238, 1], [239, 2], [242, 2], [248, 1]]"
23,brasileiro,"[[1, 1], [6, 1], [8, 3], [18, 2], [19, 2], [21, 2], [22, 2], [25, 1], [26, 2], [27, 1], [42, 4], [50, 1], [55, 3], [58, 2], [60, 1], [68, 1], [71, 2], [73, 3], [76, 1], [95, 1], [105, 5], [111, 2], [115, 4], [116, 1], [121, 1], [127, 2], [131, 2], [134, 1], [139, 3], [151, 1], [158, 1], [160, 1], [162, 1], [164, 4], [165, 2], [166, 4], [168, 2], [172, 1], [173, 1], [174, 4], [201, 1], [204, 2], [207, 1], [210, 3], [215, 2], [217, 2], [218, 1], [220, 1], [223, 1], [224, 3], [225, 1], [230, 2], [231, 1], [237, 1], [238, 1]]"
24,brasília,"[[1, 1], [8, 1], [33, 1], [35, 1], [44, 1], [48, 1], [50, 1], [53, 1], [62, 1], [72, 1], [80, 1], [85, 1], [101, 1], [138, 1], [146, 1], [161, 1], [162, 1], [203, 1], [205, 1], [207, 2], [213, 1], [214, 1], [217, 4], [222, 1], [229, 1], [235, 1], [238, 1], [246, 1]]"
25,canalizado,"[[1, 1]]"
26,carta,"[[1, 1], [9, 3], [17, 2], [66, 1], [73, 1], [75, 5], [79, 2], [101, 2], [129, 1], [157, 1], [193, 1]]"
27,caráter,"[[1, 1], [15, 1], [36, 1], [60, 1], [89, 1], [97, 1], [120, 1], [149, 1], [239, 1], [247, 1]]"
28,celebração,"[[1, 1], [43, 1], [78, 1], [190, 2], [208, 3], [216, 1]]"
29,chancelado,"[[1, 1]]"
30,cita,"[[1, 1], [16, 1], [32, 1], [47, 1], [63, 1], [66, 1], [102, 1], [123, 1], [138, 1], [144, 1], [216, 1]]"
31,citando,"[[1, 1], [205, 1]]"
32,comemorarem,"[[1, 1], [166, 1], [218, 1]]"
33,comemorativas,"[[1, 1]]"
34,comemoração,"[[1, 1], [41, 1], [166, 1], [223, 1]]"
35,comentar,"[[1, 2], [6, 1], [156, 1], [172, 1], [215, 1], [226, 1]]"
36,comentou,"[[1, 1], [4, 1], [26, 1], [45, 1], [58, 2], [88, 1], [160, 1], [193, 2], [249, 1]]"
37,compatível,"[[1, 1]]"
38,compromisso,"[[1, 1], [3, 1], [60, 1], [73, 1], [86, 1], [90, 1], [103, 1], [111, 1], [116, 1], [133, 1], [173, 1], [207, 1], [209, 1], [215, 2], [222, 1]]"
39,condenou,"[[1, 1], [29, 1], [105, 1], [161, 1], [223, 1], [224, 1]]"
40,conforme,"[[1, 1], [6, 1], [7, 1], [23, 1], [29, 1], [54, 1], [70, 1], [83, 1], [107, 1], [129, 1], [139, 1], [143, 1], [193, 1], [202, 1], [219, 1], [225, 1], [235, 1], [240, 1], [249, 1]]"
41,congresso,"[[1, 1], [19, 1], [36, 1], [37, 3], [63, 1], [66, 2], [76, 1], [81, 3], [95, 1], [96, 1], [112, 1], [133, 1], [138, 3], [146, 1], [151, 1], [152, 1], [164, 1], [166, 1], [168, 2], [188, 1], [204, 1], [205, 4], [210, 1], [211, 1], [213, 2], [216, 1], [222, 1], [225, 2], [233, 1], [235, 5], [240, 2], [242, 1], [248, 1]]"
42,constituinte,"[[1, 2], [88, 3], [106, 1], [173, 1]]"
43,constituição,"[[1, 1], [37, 1], [63, 1], [95, 1], [100, 1], [151, 1], [160, 1], [166, 1], [171, 3], [172, 1], [173, 4], [205, 1], [209, 4], [213, 2], [225, 1], [229, 1], [231, 1], [233, 2], [235, 2], [240, 1], [248, 1]]"
44,contraria,"[[1, 1], [77, 1], [224, 1]]"
45,corte,"[[1, 2], [19, 1], [20, 1], [24, 1], [63, 3], [103, 2], [106, 1], [115, 1], [136, 1], [146, 1], [169, 1], [175, 1], [177, 2], [183, 2], [223, 2], [244, 1]]"
46,dar,"[[1, 1], [6, 1], [7, 1], [13, 1], [14, 1], [17, 1], [19, 1], [30, 1], [31, 1], [34, 1], [37, 2], [47, 1], [63, 2], [68, 1], [69, 2], [73, 1], [82, 1], [86, 1], [87, 1], [93, 1], [95, 1], [99, 1], [102, 1], [107, 1], [118, 1], [121, 1], [122, 1], [129, 1], [133, 1], [136, 1], [145, 1], [149, 1], [150, 1], [152, 1], [154, 1], [157, 1], [158, 2], [163, 1], [166, 2], [170, 1], [173, 1], [175, 1], [183, 1], [184, 2], [188, 1], [189, 1], [193, 1], [196, 1], [200, 1], [204, 1], [205, 1], [212, 1], [213, 1], [214, 1], [217, 1], [220, 1], [221, 1], [225, 1], [226, 1], [230, 1], [237, 1], [238, 2], [239, 1], [240, 1], [248, 3], [249, 1]]"
47,datas,"[[1, 1], [63, 1], [172, 1], [178, 1], [207, 1], [212, 1], [238, 1]]"
